license_issue_date,license_number,animal_name,species,primary_breed,secondary_breed,zip_code
December 18 2015,S107948,Zen,Cat,Domestic Longhair,Mix,98117
June 14 2016,S116503,Misty,Cat,Siberian,NA,98117
August 04 2016,S119301,Lyra,Cat,Mix,NA,98121
February 13 2019,962273,Veronica,Cat,Domestic Longhair,NA,98107
August 10 2019,S133113,Spider,Cat,LaPerm,NA,98115
November 21 2019,8002549,Maxx,Cat,American Shorthair,NA,98125
July 03 2020,S112835,Diamond,Cat,Domestic Shorthair,Mix,98103
July 21 2020,S131986,Nacho,Cat,Domestic Shorthair,Mix,98126
November 03 2020,S112996,Pixel,Cat,Domestic Medium Hair,Mix,98112
November 17 2020,S146576,C.C.,Cat,Domestic Shorthair,Mix,98117
November 20 2020,77412,Gemma,Cat,Siamese,American Shorthair,98126
November 24 2020,896993,Oliver,Cat,Domestic Longhair,Mix,98199
December 15 2020,832271,Silky Frances,Cat,Domestic Shorthair,NA,98115
December 23 2020,833148,Lucy,Cat,Domestic Shorthair,NA,98116
February 03 2021,8004418,Emme,Cat,Domestic Shorthair,Mix,98136
February 16 2021,833680,Coal,Cat,Domestic Shorthair,NA,98115
April 07 2021,19048,Rudy,Cat,Domestic Shorthair,NA,98103
April 09 2021,8004956,Custo,Cat,Domestic Shorthair,Mix,98117
April 10 2021,S145248,Honey,Cat,Domestic Medium Hair,Mix,98144
April 26 2021,S123490,Boots,Cat,Domestic Shorthair,Mix,98125
April 28 2021,8008321,Cece,Cat,American Shorthair,Mix,98125
May 07 2021,273780,Taffy,Cat,Siamese,Mix,98125
May 28 2021,S150479,Seamus,Cat,Domestic Shorthair,Mix,98104
June 17 2021,S112839,Guinness,Cat,Domestic Shorthair,Mix,98133
June 21 2021,S121230,Ebi,Cat,Domestic Medium Hair,NA,98119
June 21 2021,S121231,Toro,Cat,Domestic Shorthair,NA,98119
July 19 2021,8029709,Pippin,Cat,Persian,Mix,98105
July 23 2021,133986,Milo,Cat,LaPerm,NA,98133
July 23 2021,8030061,Luna Lovegood,Cat,Domestic Longhair,Mix,98117
August 03 2021,S150617,Eugene,Cat,Domestic Shorthair,Mix,98125
August 12 2021,8031685,Casper,Cat,Domestic Shorthair,NA,98126
August 19 2021,8010082,Mouse,Cat,Domestic Shorthair,NA,98199
September 10 2021,8032534,Oatey or odin,Cat,Maine Coon,NA,98199
September 21 2021,8031624,Koa,Cat,Burmese,NA,98125
September 25 2021,140426,Theodore,Cat,Domestic Shorthair,NA,98144
October 21 2021,8001165,Brie,Cat,American Shorthair,Mix,98105
October 21 2021,85529,Cody,Cat,American Shorthair,NA,98105
October 21 2021,732760,Gatsby,Cat,American Shorthair,NA,98105
October 25 2021,8033726,Binu,Cat,Domestic Shorthair,Mix,98119
October 28 2021,S153294,Mudflap,Cat,Domestic Longhair,Mix,98115
October 29 2021,825012,Ricky,Cat,Norwegian Forest,NA,98136
October 31 2021,S100358,Roushe,Cat,Domestic Shorthair,NA,98144
November 10 2021,S150979,Tom,Cat,Domestic Shorthair,Mix,98117
November 11 2021,560462,Jóna,Cat,Domestic Shorthair,NA,98136
November 15 2021,133600,Precious,Cat,Persian,NA,98121
November 26 2021,8028480,Louie,Cat,Domestic Shorthair,Mix,98125
November 26 2021,8028478,Lyra,Cat,Domestic Shorthair,Siamese,98125
December 06 2021,8028320,Zora,Cat,Ragdoll,NA,98109
December 18 2021,434832,Yuki,Cat,Domestic Shorthair,NA,98125
January 12 2022,S154393,Edgar,Cat,Domestic Medium Hair,Mix,98125
February 03 2022,8036100,Buddy Guy,Cat,Domestic Medium Hair,NA,98136
February 10 2022,S149283,Edgar,Cat,Domestic Shorthair,Mix,98126
February 10 2022,S149284,Emily,Cat,Domestic Shorthair,Mix,98126
March 06 2022,S107510,Turnip Smith,Cat,Maine Coon,Domestic Medium Hair,98199
